Title,Director,Cast,releaseDate,endDate,synopsis,duration,showingStatus,movieType,movieRating
Black Adam,Jaume Collet-Serra,"Dwayne Johnson, Aldis Hodge, Noah Centineo, Sarah Shahi, Marwan Kenzari, Quintessa Swindell",20/10/2022,25/12/2022,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods -- and imprisoned just as quickly -- Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world",125,NOW_SHOWING,BLOCKBUSTER,PG13
Emergency Declaration,Han Jae-rim,"Song Kang-ho, Lee Byung-hun, Kim Nam-gil, Jeon Do-yeon, Yim Si-wan",4/8/2022,10/12/2022,"Emergency Declaration: If an aircraft faces a potential disaster, and normal flight can no longer be maintained, the pilot calls for an unconditional landing. Veteran chief police detective In-ho (Song Kang-ho) receives a tip about a man threatening a terrorist attack against a plane. While investigating, he discovers that the suspect has actually boarded flight no. KI501. Despite his phobia of flying, Jae-hyuk (Lee Byung-hun) decides to go to Hawaii for the sake of his daughters health. At the airport, he is distracted by a strange man who hangs around, speaking to them in a menacing way. Flight no. KI501 departs Incheon Airport for Hawaii, but soon afterwards a man dies for mysterious reasons. Fear and chaos spread quickly, not only inside the plane, but also on land. Hearing this news, Transport Minister Sook-hee (Jeon Do-yeon) sets up a counterterrorism task force and calls an emergency meeting in order to find a way to land the airplane.",140,NOW_SHOWING,TWOD,PG13
Emergency Declaration,Han Jae-rim,"Song Kang-ho, Lee Byung-hun, Kim Nam-gil, Jeon Do-yeon, Yim Si-wan",4/8/2022,10/12/2022,"Emergency Declaration: If an aircraft faces a potential disaster, and normal flight can no longer be maintained, the pilot calls for an unconditional landing. Veteran chief police detective In-ho (Song Kang-ho) receives a tip about a man threatening a terrorist attack against a plane. While investigating, he discovers that the suspect has actually boarded flight no. KI501. Despite his phobia of flying, Jae-hyuk (Lee Byung-hun) decides to go to Hawaii for the sake of his daughters health. At the airport, he is distracted by a strange man who hangs around, speaking to them in a menacing way. Flight no. KI501 departs Incheon Airport for Hawaii, but soon afterwards a man dies for mysterious reasons. Fear and chaos spread quickly, not only inside the plane, but also on land. Hearing this news, Transport Minister Sook-hee (Jeon Do-yeon) sets up a counterterrorism task force and calls an emergency meeting in order to find a way to land the airplane.",140,NOW_SHOWING,THREED,PG13
Faces Of Anne,"Kongdej Jaturanrasamee, Rasiguet Sookkarn","Chutimon Chuengcharoensukying (Aokbab), Waruntorn Paonil (Ink), VioletteI Wautier, Phantira Pipityakorn (Minnie)",3/11/2022,13/12/2022,"Not too long ago in this mental ward, every time Anne opens her eyes, every time Anne dies, or every time Anne's face changes, the young women in this place begin to mysteriously disappear. Fear gradually began to take root in the minds of the survivors. Until they encountered the legendary deer-headed demon ""Wedigo"". In order to survive, everyone must work together. The only way is to piece together the past and the mysteries that lead to the truth and to find a way to escape in time before death takes them away.",116,COMING_SOON,TWOD,NC16
Jurassic World Dominion,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Laura Dern, Jeff Goldblum, Sam Neill",9/6/2022,30/11/2022,"In the epic conclusion to the Jurassic era, two generations unite for the first time as Chris Pratt and Bryce Dallas Howard are joined by Laura Dern, Jeff Goldblum and Sam Neill in a bold, timely and breathtaking new adventure that spans the globe. Four years after Isla Nublar has been destroyed, dinosaurs now live and hunt alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history most fearsome creatures.",147,NOW_SHOWING,TWOD,PG13
Marvel Studios' Thor: Love And Thunder,Taika Waititi,"Chris Hemsworth, Christian Bale, Natalie Portman, Russell Crowe, Tessa Thompson, Chris Prat",7/7/2022,26/9/2022,"The film finds Thor (Chris Hemsworth) on a journey unlike anything he ever faced a quest for inner peace. But his retirement is interrupted by a galactic killer known as Gorr the God Butcher (Christian Bale), who seeks the extinction of the gods. To combat the threat, Thor enlists the help of King Valkyrie (Tessa Thompson), Korg (Taika Waititi) and ex-girlfriend Jane Foster (Natalie Portman), who to Thor surprise inexplicably wields his magical hammer, Mjolnir, as the Mighty Thor. Together, they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher vengeance and stop him before it is too late.",119,END_OF_SHOWING,BLOCKBUSTER,PG13
Minions 2: The Rise Of Gru,Kyle Balda,"Steve Carell, Taraji P. Henson, Michelle Yeoh, Jean-Claude Van Damme, Lucy Lawless, Dolph Lundgren, Danny Trejo, Russell Brand, Julie Andrews, Alan Arkin",30/6/2022,28/11/2022,"From the biggest animated franchise in history and global cultural phenomenon comes the untold story of one 12-year-old dream to become the world greatest supervillain. In the 1970s, Gru (Steve Carell) is growing up in the suburbs. A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions. When the Vicious 6 oust their leader, Gru interviews to become their newest member. It does not go well (to say the least), and Gru suddenly finds himself the mortal enemy of the apex of evil.",87,NOW_SHOWING,TWOD,PG
Satoshi Kon: The Illusionist ,Pascal-Alex Vincent,"Hosada Mamoru, Oshii Mamoru, Rodney Rothman, Darren Aronofsky",3/11/2022,17/11/2022,"The mangaka and anime filmmaker Satoshi Kon died suddenly in 2010, at the age of 46. He left behind a short and unfinished body of work, which is nevertheless among the most widely distributed and influential in the history of contemporary Japanese culture. Ten years after his death, his family and collaborators finally speak out about his work, while his heirs in Japan, France and Hollywood look back on his artistic legacy. Satoshi Kon, The Illusionist illustrates the trajectory of a solitary author, whose life was dedicated to comics and animation for adults.",83,PREVIEW,TWOD,PG13
